City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rajgarh,28.6333,75.3833,28.16,75,99,6.01,IN,1689478031
1,grytviken,-54.2811,-36.5092,-5.4,72,6,2.48,GS,1689478031
2,edinburgh of the seven seas,-37.0676,-12.3116,12.7,69,28,13.74,SH,1689478031
3,tromso,69.6496,18.957,11.32,87,40,2.57,NO,1689478032
4,arroyo,41.6096,-4.7969,13.97,86,0,1.54,ES,1689478032
5,usinsk,65.9939,57.5281,19.56,54,17,2.15,RU,1689478032
6,broome,42.2506,-75.833,23.58,98,100,1.98,US,1689478032
7,christchurch,-43.5333,172.6333,12.75,70,20,3.6,NZ,1689477967
8,ellsworth,44.5434,-68.4195,21.27,98,100,1.54,US,1689478032
9,afaahiti,-17.75,-149.2833,25.93,62,0,2.11,PF,1689478032
10,port alfred,-33.5906,26.891,14.78,86,17,4.87,ZA,1689478033
11,port-aux-francais,-49.35,70.2167,1.68,56,96,14.31,TF,1689478033
12,guiuan,11.0333,125.7247,29.11,72,99,6.57,PH,1689477801
13,jamestown,42.097,-79.2353,20.8,100,100,0.0,US,1689477890
14,remire-montjoly,4.9167,-52.2667,24.02,94,0,0.0,GF,1689478033
15,praia da vitoria,38.7333,-27.0667,20.14,83,75,5.21,PT,1689478033
16,namtsy,62.7161,129.6658,16.79,40,51,4.7,RU,1689478033
17,atafu village,-8.5421,-172.5159,28.35,74,99,4.36,TK,1689478033
18,coquimbo,-29.9533,-71.3436,11.85,87,0,0.51,CL,1689478034
19,manta,-0.95,-80.7333,26.67,78,75,8.05,EC,1689478034
20,olonkinbyen,70.9221,-8.7187,4.51,97,100,8.75,SJ,1689478034
21,st. john's,47.5649,-52.7093,17.86,93,20,3.6,CA,1689477932
22,ostersund,63.1792,14.6357,15.34,33,20,7.6,SE,1689478034
23,tiksi,71.6872,128.8694,3.45,96,100,4.21,RU,1689478034
24,albany,42.6001,-73.9662,23.74,81,98,1.74,US,1689478034
25,northam,51.0333,-4.2167,14.78,87,31,8.98,GB,1689478034
26,kushiro,42.975,144.3747,20.53,88,75,1.54,JP,1689478035
27,puerto ayora,-0.7393,-90.3518,25.31,91,18,1.79,EC,1689478035
28,whitehorse,60.7161,-135.0538,25.57,29,20,7.15,CA,1689477564
29,santa cruz,-17.8,-63.1667,16.7,77,40,1.54,BO,1689477994
30,lata,40.1629,-8.3327,12.82,96,4,1.21,PT,1689478035
31,bredasdorp,-34.5322,20.0403,12.05,75,79,3.34,ZA,1689478035
32,taulaga,-11.0553,-171.0883,28.12,73,66,4.28,AS,1689478035
33,bestobe,52.4994,73.0975,20.72,61,100,9.13,KZ,1689478036
34,gardabani,41.4605,45.0928,21.05,54,0,4.39,GE,1689478036
35,kailua-kona,19.6406,-155.9956,26.98,87,75,4.63,US,1689477854
36,waitangi,-43.9535,-176.5597,12.12,81,100,0.89,NZ,1689478036
37,yaren,-0.5472,166.916,28.83,69,31,2.13,NR,1689478036
38,nuuk,64.1835,-51.7216,8.34,100,100,0.51,GL,1689478036
39,adamstown,-25.066,-130.1015,22.07,83,100,8.86,PN,1689478036
40,fastovetskaya,45.9189,40.1589,19.25,74,61,2.95,RU,1689478036
41,hermanus,-34.4187,19.2345,15.45,83,81,5.51,ZA,1689478037
42,blackmans bay,-43.0167,147.3167,13.07,79,96,5.84,AU,1689478037
43,baker city,44.7749,-117.8344,28.66,32,0,2.57,US,1689477772
44,anadyr,64.75,177.4833,20.28,52,0,7.0,RU,1689478037
45,soe,-9.8607,124.284,25.51,46,36,4.08,ID,1689478037
46,petropavlovsk-kamchatsky,53.0452,158.6483,18.33,72,75,6.0,RU,1689478038
47,oranjemund,-28.55,16.4333,13.1,62,0,2.54,NA,1689478038
48,codrington,-38.2667,141.9667,13.4,71,100,5.17,AU,1689478038
49,sandnessjoen,66.0217,12.6316,12.29,71,100,8.53,NO,1689478038
50,yellowknife,62.456,-114.3525,20.31,48,75,3.58,CA,1689477845
51,mar del plata,-38.0023,-57.5575,6.64,80,0,7.6,AR,1689477762
52,sanaa,15.3547,44.2067,19.63,42,3,1.01,YE,1689478038
53,fortuna,40.5982,-124.1573,15.52,94,100,3.6,US,1689478039
54,ishigaki,24.3448,124.1572,32.07,70,20,6.69,JP,1689478039
55,coruripe,-10.1256,-36.1756,23.21,87,23,2.91,BR,1689478039
56,georgetown,5.4112,100.3354,30.97,74,20,1.54,MY,1689477907
57,juneau,58.3019,-134.4197,24.0,100,75,2.06,US,1689477806
58,cividale del friuli,46.0931,13.4275,22.61,88,1,1.48,IT,1689478039
59,kourou,5.1552,-52.6478,24.03,88,15,2.94,GF,1689477888
60,vernal,40.4555,-109.5287,27.62,22,0,4.12,US,1689478039
61,west island,-12.1568,96.8225,25.99,73,100,8.75,CC,1689478039
62,longyearbyen,78.2186,15.6401,9.91,81,0,3.09,SJ,1689478040
63,vanino,49.0869,140.2543,20.79,55,89,2.97,RU,1689478040
64,uturoa,-16.7333,-151.4333,26.49,60,0,3.55,PF,1689478040
65,quellon,-43.1167,-73.6167,3.14,93,20,1.54,CL,1689478040
66,thompson,55.7435,-97.8558,10.09,93,100,3.09,CA,1689477786
67,puerto natales,-51.7236,-72.4875,-1.22,88,39,2.68,CL,1689478040
68,flying fish cove,-10.4217,105.6791,25.82,83,100,6.17,CX,1689478040
69,vila franca do campo,37.7167,-25.4333,20.23,79,91,2.98,PT,1689478041
70,east end,34.5507,-92.341,26.9,95,46,1.27,US,1689478041
71,kanash,55.5086,47.4956,14.13,90,100,4.26,RU,1689478041
72,college,64.8569,-147.8028,16.99,85,100,3.09,US,1689478041
73,fort-shevchenko,44.5086,50.263,24.92,59,99,5.18,KZ,1689478041
74,ashland,40.8167,-82.2665,21.14,96,40,1.86,US,1689477899
75,dundalk,39.2507,-76.5205,28.4,84,75,4.63,US,1689478042
76,papatowai,-46.5619,169.4708,8.91,74,28,8.12,NZ,1689478042
77,karratha,-20.7377,116.8463,22.5,32,1,8.37,AU,1689478042
78,utrik,11.2278,169.8474,28.56,74,44,6.23,MH,1689478042
79,moron,-34.6534,-58.6198,9.32,90,1,2.76,AR,1689478042
80,trinidad,-14.8333,-64.9,19.58,70,1,1.35,BO,1689478042
81,ingeniero guillermo n. juarez,-23.9,-61.85,12.22,58,6,2.94,AR,1689478042
82,bilibino,68.0546,166.4372,28.81,30,12,3.68,RU,1689478043
83,horta,38.5333,-28.6333,19.45,84,97,2.24,PT,1689478043
84,mukalla,14.5425,49.1242,31.63,50,7,4.3,YE,1689478043
85,guanica,17.9716,-66.908,28.36,70,82,2.05,PR,1689478043
86,isafjordur,66.0755,-23.124,6.06,95,100,3.41,IS,1689478043
87,bethel,41.3712,-73.414,25.98,82,100,2.24,US,1689478043
88,waddan,29.1614,16.139,24.74,45,1,2.42,LY,1689478043
89,iskateley,67.6803,53.1512,19.9,59,12,2.72,RU,1689478044
90,maceio,-9.6658,-35.7353,22.69,100,40,1.03,BR,1689478044
91,tura,25.5198,90.2201,26.45,80,100,3.07,IN,1689478044
92,moranbah,-22.0016,148.0466,24.19,33,0,6.89,AU,1689478044
93,cabo san lucas,22.8909,-109.9124,32.17,55,20,2.06,MX,1689478014
94,saldanha,-33.0117,17.9442,13.03,94,100,5.08,ZA,1689478045
95,ushuaia,-54.8,-68.3,-1.19,80,0,0.51,AR,1689478045
96,carnarvon,-24.8667,113.6333,19.09,31,0,3.41,AU,1689478045
97,argo,37.6333,22.7333,28.21,52,0,2.18,GR,1689478045
98,wailua homesteads,22.0669,-159.378,27.44,78,20,5.66,US,1689478045
99,heyuan,23.7333,114.6833,32.77,62,11,3.13,CN,1689478045
100,makar'yev,57.8797,43.8069,14.29,89,100,2.49,RU,1689478046
101,mount pearl,47.5166,-52.7813,17.4,92,20,3.6,CA,1689478047
102,chissamba,-12.1667,17.3333,12.48,52,6,1.64,AO,1689478047
103,naha,26.2125,127.6811,30.95,81,75,9.77,JP,1689478048
104,san pedro pochutla,15.7333,-96.4667,27.62,84,9,1.65,MX,1689478048
105,yorkton,51.2167,-102.4677,15.91,67,100,4.63,CA,1689478048
106,aasiaat,68.7098,-52.8699,2.69,96,100,3.86,GL,1689478048
107,kenai,60.5544,-151.2583,12.05,98,100,2.57,US,1689478049
108,kendari,-3.945,122.4989,28.54,64,97,1.19,ID,1689477875
109,wenchang,30.904,118.4887,26.86,82,100,1.29,CN,1689478049
110,ziro,27.6333,93.8333,14.41,94,100,0.45,IN,1689478049
111,gaspe,48.8334,-64.4819,20.12,94,75,1.03,CA,1689478049
112,aleksandrovsk-sakhalinskiy,50.8975,142.1561,20.32,65,100,1.56,RU,1689478049
113,dilling,12.05,29.65,24.39,72,100,5.83,SD,1689478049
114,coari,-4.085,-63.1414,23.51,92,30,0.4,BR,1689478050
115,ancud,-41.8697,-73.8203,5.06,81,7,1.79,CL,1689478050
116,hobyo,5.3505,48.5268,24.72,83,93,9.86,SO,1689478050
117,ribeira grande,38.5167,-28.7,19.87,84,98,2.24,PT,1689478050
118,illizi,26.4833,8.4667,25.89,13,1,4.85,DZ,1689478050
119,al jawf,29.5,38.75,27.85,20,4,3.82,SA,1689478050
120,manaure,11.7751,-72.4445,27.65,74,77,8.46,CO,1689478051
121,spearfish,44.4908,-103.8594,21.16,57,69,1.79,US,1689478051
122,kolonia,50.9333,6.95,18.87,71,0,4.63,DE,1689478051
123,egilsstadir,65.2653,-14.3948,5.95,93,100,3.09,IS,1689478051
124,lebu,-37.6167,-73.65,7.75,83,99,6.5,CL,1689478051
125,fort bragg,35.139,-79.006,27.08,96,40,3.09,US,1689478051
126,zhezqazghan,47.7833,67.7667,26.32,34,0,5.0,KZ,1689478052
127,kabinda,-6.1333,24.4833,19.26,53,45,2.18,CD,1689478052
128,polyarnyy,69.1989,33.4478,13.2,95,81,0.99,RU,1689478052
129,humberto de campos,-2.5983,-43.4611,24.49,92,10,3.59,BR,1689478052
130,fukuecho,32.6881,128.8419,29.2,89,75,5.66,JP,1689478052
131,saint-lys,43.5167,1.2,17.61,89,100,2.57,FR,1689478052
132,karatau,43.1667,70.4667,26.58,21,0,4.22,KZ,1689478052
133,grand-lahou,5.1367,-5.0242,24.2,92,77,3.07,CI,1689478052
134,punta arenas,-53.15,-70.9167,0.06,86,40,9.77,CL,1689478052
135,gannan,47.9147,123.5031,19.63,71,83,5.44,CN,1689478053
136,klyuchi,52.2667,79.1667,21.4,52,98,8.62,RU,1689478053
137,rongelap,11.1635,166.8941,28.57,76,82,6.46,MH,1689478053
138,shingu,33.7333,135.9833,31.53,55,54,4.7,JP,1689478053
139,el calafate,-50.3408,-72.2768,-5.17,70,2,1.37,AR,1689478053
140,kapa'a,22.0752,-159.319,28.18,78,20,5.66,US,1689478053
141,west wodonga,-36.1257,146.8486,15.97,100,0,0.65,AU,1689478053
142,dauphin,51.1494,-100.0502,13.08,94,100,2.57,CA,1689477993
143,changchun,43.88,125.3228,20.98,96,100,3.56,CN,1689478054
144,nouadhibou,20.931,-17.0347,21.99,88,62,4.12,MR,1689478054
145,lihue,21.9789,-159.3672,27.77,72,20,5.66,US,1689478042
146,nar'yan-mar,67.6713,53.087,19.95,59,12,2.72,RU,1689478054
147,lake havasu city,34.4839,-114.3224,47.0,7,65,2.06,US,1689477541
148,richards bay,-28.783,32.0377,15.39,49,0,1.74,ZA,1689478054
149,mishan,45.55,131.8833,17.56,98,100,2.57,CN,1689478054
150,brookings,44.3114,-96.7984,17.84,88,0,2.57,US,1689478054
151,margaret river,-33.95,115.0667,16.04,59,7,8.04,AU,1689478055
152,sinabang,2.4803,96.3801,28.39,71,87,0.52,ID,1689478055
153,gwaram,11.2764,9.8858,24.42,72,99,2.53,NG,1689478055
154,nebraska city,40.6767,-95.8592,24.56,88,0,3.6,US,1689478055
155,ikungi,-5.1333,34.7667,12.38,74,0,4.39,TZ,1689478055
156,heroica caborca,30.7167,-112.15,37.35,30,30,2.63,MX,1689478055
157,constantia,44.1833,28.65,18.38,67,0,1.55,RO,1689478055
158,iqaluit,63.7506,-68.5145,9.85,87,75,1.54,CA,1689478055
159,talnakh,69.4865,88.3972,4.56,73,100,3.57,RU,1689478055
160,lubang,13.8584,120.124,28.23,83,100,12.23,PH,1689478056
161,isangel,-19.55,169.2667,26.06,78,40,7.72,VU,1689477767
162,raja,8.4596,25.678,22.08,80,89,1.59,SS,1689477921
163,qaqortoq,60.7167,-46.0333,6.39,91,100,0.62,GL,1689478056
164,hamilton,39.1834,-84.5333,22.65,95,100,2.06,US,1689477931
165,takestan,36.0696,49.6959,22.07,74,3,5.38,IR,1689478056
166,baie-saint-paul,47.4411,-70.4986,20.87,96,98,0.88,CA,1689478056
167,kodinsk,58.6881,99.1844,18.08,58,100,2.64,RU,1689478056
168,vilyuchinsk,52.9306,158.4028,19.15,83,81,2.83,RU,1689478056
169,urengoy,65.9667,78.3667,12.97,50,38,6.3,RU,1689478056
170,hithadhoo,-0.6,73.0833,27.9,74,1,1.16,MV,1689478057
171,ballito,-29.539,31.2144,12.08,58,0,1.03,ZA,1689478057
172,tougue,11.4667,-11.6,19.4,97,70,1.26,GN,1689478057
173,okhotsk,59.3833,143.3,15.3,78,99,3.12,RU,1689478057
174,boda,4.3189,17.4695,20.74,96,27,1.45,CF,1689477583
175,san patricio,28.017,-97.5169,29.36,78,99,6.63,US,1689478057
176,haiku-pauwela,20.9219,-156.3051,27.01,65,40,11.32,US,1689478057
177,palmer,42.1584,-72.3287,24.92,79,75,3.6,US,1689478057
178,igarka,67.4667,86.5833,7.15,61,75,6.08,RU,1689478057
179,ugoofaaru,5.6667,73.0,28.16,75,96,4.76,MV,1689478058
180,kupang,-10.1667,123.5833,29.3,55,47,4.63,ID,1689477554
181,port mathurin,-19.6833,63.4167,23.65,76,9,7.86,MU,1689478058
182,san fernando de apure,7.8878,-67.4724,23.88,96,99,1.46,VE,1689477874
183,acarau,-2.8856,-40.12,25.69,84,7,6.42,BR,1689477948
184,mil'kovo,55.6078,37.7956,15.73,90,10,2.68,RU,1689478058
185,baruun-urt,46.6806,113.2792,25.73,32,0,2.04,MN,1689478058
186,lautoka,-17.6167,177.4667,22.92,83,100,2.57,FJ,1689478058
187,ust-nera,64.5667,143.2,23.76,46,35,2.94,RU,1689478059
188,rocha,-34.4833,-54.3333,10.1,67,100,4.46,UY,1689478059
189,jinchang,38.4953,102.1739,28.48,20,0,2.3,CN,1689478059
190,westport,41.1415,-73.3579,26.9,88,20,2.57,US,1689477823
191,flin flon,54.7682,-101.865,10.05,87,96,3.71,CA,1689478059
192,inhambane,-23.865,35.3833,16.32,87,1,2.04,MZ,1689478060
193,konduga,11.6558,13.4213,26.4,62,62,2.61,NG,1689478060
194,al mindak,20.1588,41.2834,23.78,67,4,1.47,SA,1689478060
195,pacific grove,36.6177,-121.9166,19.66,91,40,3.13,US,1689478060
196,vernon,50.2581,-119.2691,30.2,41,49,0.51,CA,1689478006
197,ouesso,1.6136,16.0517,21.75,89,58,0.64,CG,1689478060
198,la ronge,55.1001,-105.2842,16.14,67,75,6.17,CA,1689478060
199,porto-novo,6.4965,2.6036,26.9,90,100,2.56,BJ,1689478060
200,saint-philippe,-21.3585,55.7679,21.77,85,96,7.08,RE,1689478060
201,ilulissat,69.2167,-51.1,4.01,100,100,0.51,GL,1689478061
202,chonchi,-42.6128,-73.8092,1.73,93,40,1.33,CL,1689478061
203,arraial do cabo,-22.9661,-42.0278,20.46,74,0,6.91,BR,1689478061
204,saipan,15.1355,145.701,31.39,100,40,7.72,MP,1689478061
205,trairi,-3.2778,-39.2689,25.35,84,1,4.56,BR,1689477878
206,alpena,45.0617,-83.4327,19.14,97,0,0.0,US,1689478061
207,invercargill,-46.4,168.35,9.2,72,56,7.45,NZ,1689478061
208,manggar,-2.8833,108.2667,27.63,75,98,3.0,ID,1689478062
209,sabang,5.8933,95.3214,28.18,75,62,8.7,ID,1689478062
210,umm kaddadah,13.6017,26.6876,30.17,47,99,5.38,SD,1689478062
211,farah,32.5,62.5,31.44,13,0,2.51,AF,1689478062
212,ciudad lazaro cardenas,17.9583,-102.2,28.3,82,11,2.33,MX,1689478062
213,lethem,3.3803,-59.7968,24.2,88,67,2.65,GY,1689478062
214,sattahip,12.6664,100.9007,33.06,66,20,4.12,TH,1689478062
215,sao vicente,-23.9631,-46.3919,18.32,26,4,1.46,BR,1689478062
216,denizciler,36.6495,36.2296,25.12,53,0,1.46,TR,1689478063
217,udachny,66.4167,112.4,13.42,39,99,3.92,RU,1689478063
218,port elizabeth,-33.918,25.5701,14.16,58,0,3.6,ZA,1689477847
219,temiskaming shores,47.4938,-79.7153,19.89,97,100,2.43,CA,1689478063
220,les sables-d'olonne,46.6667,-1.8333,14.44,73,5,6.34,FR,1689478063
221,hadibu,12.65,54.0333,25.4,80,64,10.85,YE,1689478063
222,dudinka,69.4058,86.1778,4.79,72,100,4.99,RU,1689478063
223,stanley,54.868,-1.6985,13.49,90,40,5.14,GB,1689478063
224,mossel bay,-34.1831,22.146,10.96,52,55,3.21,ZA,1689478063
225,bangui,4.3612,18.555,23.1,94,25,0.0,CF,1689478064
226,greenville,35.6127,-77.3663,26.02,99,100,4.12,US,1689478031
227,avarua,-21.2078,-159.775,24.03,83,40,1.54,CK,1689478064
228,nikolayevsk-on-amure,53.1406,140.73,24.23,36,100,3.15,RU,1689478064
229,east london,-33.0153,27.9116,11.52,71,0,3.09,ZA,1689478064
230,abepura,-2.6333,140.5833,31.45,58,40,2.06,ID,1689478064
231,luganville,-15.5333,167.1667,24.88,83,75,7.4,VU,1689478064
232,saint-louis,16.3333,-15.0,28.12,73,87,6.46,SN,1689478064
233,vorkuta,67.5,64.0,15.81,56,35,1.91,RU,1689478064
234,kantharalak,14.6406,104.6499,30.47,57,95,5.62,TH,1689478065
235,saint-joseph,-21.3667,55.6167,21.21,85,70,7.32,RE,1689478065
236,basco,20.4487,121.9702,29.08,72,100,5.48,PH,1689478065
237,nadym,65.5333,72.5167,15.63,53,39,4.58,RU,1689478065
238,mandalgovi,45.7625,106.2708,26.5,22,41,4.44,MN,1689478065
239,fale old settlement,-9.3852,-171.2468,28.57,72,96,4.61,TK,1689478065
240,bandon,51.7469,-8.7425,11.77,87,90,3.98,IE,1689477955
241,kodiak,57.79,-152.4072,11.73,94,100,4.63,US,1689478065
242,sur,22.5667,59.5289,31.28,57,6,2.22,OM,1689478065
243,coahuayana de hidalgo,18.7,-103.6583,27.07,93,64,0.42,MX,1689478066
244,crane,31.3974,-102.3501,33.84,25,5,7.1,US,1689478066
245,constanza,47.6603,9.1758,18.98,89,97,4.47,DE,1689477808
246,west melbourne,28.0717,-80.6534,27.73,86,0,2.06,US,1689478066
247,howard springs,-12.497,131.047,30.46,34,29,4.47,AU,1689478066
248,pisco,-13.7,-76.2167,17.79,82,6,1.54,PE,1689477866
249,pindare mirim,-3.6083,-45.3433,23.7,90,68,1.59,BR,1689478067
250,mount gambier,-37.8333,140.7667,13.4,65,99,3.74,AU,1689478067
251,urangan,-25.3,152.9,19.99,69,100,4.8,AU,1689478067
252,simpang,-1.2667,104.0833,25.69,87,100,1.66,ID,1689478067
253,keflavik,64.0049,-22.5624,7.95,87,0,9.26,IS,1689478067
254,aldinga beach,-35.2793,138.4604,16.53,69,0,2.88,AU,1689478067
255,kattivakkam,13.2167,80.3167,30.05,76,100,3.15,IN,1689478067
256,beboto,8.2668,16.939,20.99,91,100,1.21,TD,1689477975
257,almese-rivera,45.1191,7.4011,22.86,77,75,1.38,IT,1689478067
258,jampur,29.6441,70.5954,36.57,42,27,7.43,PK,1689478068
259,klaksvik,62.2266,-6.589,11.51,96,100,14.52,FO,1689478068
260,tan-tan,28.438,-11.1032,20.91,86,100,8.98,MA,1689478068
261,saynshand,44.8824,110.1163,28.53,15,0,4.66,MN,1689478068
262,hasaki,35.7333,140.8333,37.94,73,79,6.68,JP,1689478068
263,torghay,49.6339,63.4981,21.92,65,98,3.03,KZ,1689478068
264,ust'-ilimsk,58.0006,102.6619,24.42,34,85,3.02,RU,1689478068
265,missoula,47.0166,-113.8009,24.22,45,27,1.59,US,1689478068
266,volkhov,59.9258,32.3382,15.03,87,5,1.36,RU,1689478069
267,rosso,16.4986,-15.8153,26.79,83,72,5.36,SN,1689478069
268,glasgow,55.8652,-4.2576,14.55,89,100,4.12,GB,1689477923
269,hawaiian paradise park,19.5933,-154.9731,26.73,73,40,3.6,US,1689478069
270,birao,10.2849,22.7882,22.46,86,94,1.75,CF,1689478069
271,at taj,24.2049,23.2857,26.83,21,10,4.35,LY,1689478069
272,ta`u,-14.2336,-169.5144,26.87,77,56,7.24,AS,1689478069
273,nisporeni,47.0814,28.1783,20.22,47,92,1.22,MD,1689478069
274,cuauhtemoc,28.4167,-106.8667,25.74,31,67,4.64,MX,1689477792
275,gadzhiyevo,69.2551,33.3362,12.69,97,95,0.97,RU,1689478070
276,guozhen,34.3659,107.359,31.65,35,0,2.2,CN,1689478070
277,coyhaique,-45.5752,-72.0662,0.34,100,40,0.51,CL,1689478070
278,itoman,26.1247,127.6694,31.01,80,75,9.77,JP,1689478070
279,mili,6.0815,171.735,28.36,74,97,5.8,MH,1689478070
280,vera,-29.4593,-60.2126,9.24,78,4,2.91,AR,1689478070
281,buka,40.8108,69.1986,27.32,19,0,3.09,UZ,1689478070
282,almenara,-16.1836,-40.6944,20.49,86,100,0.73,BR,1689478070
283,yurimaguas,-5.9,-76.0833,22.78,94,37,0.32,PE,1689478071
284,alofi,-19.0595,-169.9187,22.94,78,75,6.69,NU,1689478071
285,ladyzhyn,48.685,29.2368,13.45,67,0,0.57,UA,1689478071
286,talara,-4.5772,-81.2719,22.1,87,75,7.27,PE,1689477557
287,floro,61.5996,5.0328,14.98,82,75,5.66,NO,1689477978
